id_vendedor,nombre,experiencia_años,id_sucursal
216,jose espana,2,3
217,raul garcia,0,5
218,ricardo dominguez,7,8
219,monica garcia,7,12
220,daniela garcia,0,4
221,sofia cruz,2,6
222,monica munoz,2,11
223,valentina perez,0,9
224,ricardo martinez,25,10
225,angela castano,6,5
226,mauricio dominguez,19,11
227,jose herrera,20,5
228,claudia cifuentes,20,12
229,ricardo toro,16,9
230,daniela ninez,9,7
231,jose gutierrez,14,3
232,patricia rodriguez,10,11
233,sebastian niniez,18,3
234,ricardo fernandez,14,1
235,mauricio moreno,13,8
236,angela lopez,8,8
237,alvaro ospina,21,1
238,paola sanchez,9,8
239,diego espana,4,10
240,jesus alvarez,19,4
241,alvaro fernandez,19,9
242,laura cifuentes,9,3
243,sofia munioz,7,7
244,patricia gutierrez,17,5
245,camilo rios,18,9
246,benjamin rios,23,3
247,alvaro toro,25,2
248,natalia munoz,4,8
249,jesus ospina,14,3
250,julian cifuentes,13,6
251,valentina cardenas,0,11
252,monica lopez,18,10
253,benjamin munioz,13,7
254,mauricio alvarez,4,9
255,natalia alvarez,6,6
256,patricia toro,11,12
257,alvaro rodriguez,7,2
258,paola rios,19,2
259,patricia vargas,13,9
260,diego perez,12,7
261,julian moreno,12,3
262,angela moreno,3,6
263,ricardo castano,23,8
264,alvaro gonzalez,7,5
265,jose moreno,3,6
266,ricardo herrera,5,1
267,angela munoz,17,3
268,angela cardenas,13,11
269,benjamin niniez,16,12
270,andres penia,15,8
271,alejandro gonzalez,4,3
272,sebastian herrera,15,10
273,sebastian perez,2,4
274,jesus niniez,22,5
275,daniela alvarez,0,8
276,valentina cifuentes,24,11
277,angela rodriguez,11,3
278,paola munoz,23,1
279,natalia rodriguez,0,4
280,raul lopez,8,7
281,veronica cifuentes,10,6
282,andres fernandez,21,11
283,natalia ramirez,6,3
284,alejandro ospina,24,4
285,monica vargas,22,1
286,carolina alvarez,5,11
287,valentina fernandez,0,4
288,valentina penia,8,7
289,alvaro espana,12,12
290,daniela cifuentes,5,3
291,carolina ramirez,0,4
292,julian martinez,13,12
293,valentina cruz,22,5
294,claudia cruz,3,9
295,valentina dominguez,12,8
296,julian herrera,5,3
297,maria cardenas,25,3
298,mauricio sanchez,22,5
299,laura cardenas,20,8
300,paola espania,18,9
301,andres ninez,9,3
302,mauricio castanio,9,9
303,benjamin fernandez,10,1
304,hernan fernandez,12,12
305,raul penia,6,4
306,sebastian ninez,19,8
307,diego toro,8,8
308,andres rios,4,1
309,angela sanchez,1,9
310,benjamin ninez,9,6
311,alejandro dominguez,0,5
312,hernan gonzalez,5,12
313,jose ninez,0,4
314,monica cruz,0,7
315,benjamin cruz,12,3
316,veronica pena,25,4
317,maria castano,12,6
318,jesus rios,4,9
319,alvaro munoz,9,8
320,mauricio rios,25,9
321,alejandro cifuentes,23,11
322,raul cardenas,23,6
323,sebastian ramirez,4,11
324,benjamin ospina,0,4
325,claudia espania,14,1
326,alejandro martinez,4,3
327,sofia pena,25,10
328,alejandro munoz,1,8
329,claudia gutierrez,7,10
330,angela ramirez,1,1
331,maria cifuentes,0,7
332,raul cifuentes,10,7
333,jose perez,23,5
334,hernan martinez,17,12
335,carolina gonzalez,0,2
336,paola cardenas,3,10
337,jose dominguez,13,5
338,hernan dominguez,1,7
339,carolina munoz,13,4
340,ricardo moreno,2,8
341,andres dominguez,17,12
342,andres garcia,12,2
343,jesus penia,23,11
344,felipe espana,0,11
345,maria toro,14,6
346,felipe lopez,16,2
347,paola castano,0,8
348,carolina niniez,12,10
349,alejandro vargas,25,8
350,patricia fernandez,0,1
351,benjamin sanchez,0,4
352,felipe niniez,2,10
353,hernan gutierrez,15,10
354,jose espania,10,2
355,diego dominguez,12,1
356,claudia vargas,14,3
357,camilo perez,6,2
358,benjamin munoz,7,4
359,monica dominguez,10,8
360,sebastian cruz,0,2
361,maria martinez,19,3
362,camilo cardenas,8,10
363,alejandro garcia,9,1
364,felipe ospina,0,3
365,sofia penia,2,1
366,felipe ramirez,9,9
367,angela vargas,18,7
368,andres ramirez,23,6
369,natalia penia,0,2
370,claudia pena,14,5
371,patricia cifuentes,19,8
372,alvaro alvarez,0,1
373,maria niniez,2,4
374,felipe cardenas,18,12
375,sebastian ospina,18,4
376,angela herrera,24,1
377,hernan penia,12,3
378,maria sanchez,19,2
379,natalia castano,13,9
380,patricia cruz,8,5
381,andres niniez,1,5
382,alejandro cardenas,10,1
383,ricardo vargas,0,8
384,daniela sanchez,6,3
385,angela espania,13,8
386,daniela rios,3,11
387,alvaro castanio,7,8
388,alejandro castano,9,7
389,valentina gutierrez,13,6
390,sofia niniez,23,7
391,raul alvarez,5,7
392,laura pena,10,3
393,diego munioz,0,3
394,diego vargas,3,7
395,paola ramirez,12,12
396,patricia garcia,3,3
397,sebastian gutierrez,15,4
398,jose ramirez,6,12
399,camilo moreno,25,8
400,daniela lopez,22,8
401,andres rodriguez,7,7
402,angela penia,2,4
403,diego sanchez,5,1
404,claudia munioz,22,6
405,sebastian espana,2,8
406,daniela castano,20,8
407,claudia ninez,9,3
408,benjamin espania,20,7
409,andres gutierrez,25,9
410,monica rodriguez,24,11
411,veronica rodriguez,6,5
412,benjamin castanio,18,11
413,camilo ramirez,0,1
414,julian fernandez,4,4
415,monica castanio,18,11
416,sofia herrera,7,7
417,patricia perez,2,3
418,hernan espania,20,9
419,veronica alvarez,2,8
420,hernan niniez,15,2
421,mauricio munoz,3,9
422,veronica gonzalez,4,9
423,benjamin rodriguez,4,9
424,monica cifuentes,13,12
425,carolina vargas,24,4
426,carolina perez,19,4
427,benjamin penia,12,7
428,carolina cifuentes,12,1
429,carolina dominguez,5,10
430,patricia martinez,7,10
431,paola munioz,8,8
432,angela martinez,12,1
433,sofia martinez,0,6
434,andres cifuentes,15,12
435,benjamin dominguez,24,11
436,valentina munoz,4,5
437,mauricio espana,9,5
438,benjamin martinez,8,10
439,laura perez,22,4
440,veronica martinez,12,12
441,patricia munioz,6,3
442,paola rodriguez,15,6
443,veronica cardenas,17,7
444,carolina sanchez,6,6
445,hernan castano,6,12
446,valentina lopez,6,6
447,jesus garcia,8,9
448,sofia ramirez,14,3
449,sebastian cifuentes,11,10
450,mauricio cardenas,17,11
451,valentina martinez,17,12
452,felipe munoz,16,6
453,angela dominguez,22,11
454,sofia dominguez,0,5
455,claudia alvarez,0,8
456,jose garcia,16,3
457,felipe martinez,0,2
458,monica gonzalez,9,3
459,felipe sanchez,11,6
460,sofia toro,8,5
461,daniela dominguez,2,5
462,angela espana,7,4
463,claudia rodriguez,6,5
464,jose rios,21,11
465,laura gutierrez,10,11
466,paola pena,20,5
467,valentina ospina,18,12
468,veronica munoz,12,10
469,andres espania,5,8
470,laura cruz,25,11
471,laura vargas,17,12
472,jesus espana,20,1
473,julian espania,13,11
474,diego rios,12,6
475,veronica toro,5,1
476,natalia herrera,12,2
477,jesus espania,21,9
478,sebastian espania,20,4
479,daniela ospina,3,9
480,natalia vargas,7,2
481,angela pena,20,7
482,sofia gutierrez,4,12
483,raul rios,22,3
484,jesus gutierrez,15,1
485,jesus gonzalez,15,12
486,alejandro rodriguez,11,4
487,sebastian gonzalez,4,11
488,jose alvarez,7,1
489,camilo pena,16,10
490,diego ospina,23,8
491,julian ramirez,23,7
492,alvaro niniez,8,10
493,diego lopez,3,7
494,veronica fernandez,25,8
495,julian alvarez,21,10
496,valentina ramirez,22,2
497,andres martinez,14,7
498,diego cifuentes,11,2
499,paola niniez,20,11
500,veronica castano,23,9
501,mauricio fernandez,2,2
502,patricia ramirez,0,2
503,veronica rios,7,8
504,raul pena,14,5
505,alvaro herrera,22,3
506,hernan cardenas,18,5
507,veronica ramirez,15,11
508,benjamin lopez,17,6
509,claudia lopez,5,5
510,claudia martinez,5,5
511,ricardo cifuentes,6,7
512,maria pena,3,2
513,sebastian sanchez,21,2
514,veronica ninez,7,8
515,ricardo ninez,0,11
516,hernan ninez,2,1
517,daniela fernandez,16,3
518,claudia gonzalez,9,3
519,laura lopez,16,11
520,sebastian castano,0,4
521,angela ospina,11,3
522,ricardo rios,24,9
523,ricardo niniez,24,5
524,sofia ospina,11,7
525,monica herrera,5,7
526,raul ospina,21,3
527,patricia niniez,17,2
528,ricardo castanio,4,9
529,felipe ninez,3,1
530,jesus castano,21,10
531,sofia alvarez,1,10
532,natalia niniez,12,11
533,maria ospina,16,6
534,hernan rodriguez,6,6
535,mauricio pena,0,2
536,jesus munioz,2,11
537,ricardo cardenas,11,11
538,alvaro garcia,0,2
539,raul munoz,0,12
540,alejandro espania,0,7
541,monica sanchez,0,7
542,alejandro penia,18,9
543,veronica cruz,5,3
544,maria alvarez,24,7
545,laura gonzalez,15,6
546,julian ospina,5,3
547,raul gonzalez,16,7
548,hernan lopez,0,9
549,sebastian toro,6,9
550,paola garcia,25,1
551,claudia ospina,16,6
552,laura sanchez,21,2
553,claudia fernandez,7,12
554,hernan cifuentes,0,2
555,ricardo perez,8,3
556,veronica munioz,0,4
557,hernan espana,23,3
558,felipe cruz,11,4
559,paola herrera,12,1
560,carolina espana,5,6
561,paola dominguez,10,4
562,alejandro cruz,0,8
563,natalia lopez,2,3
564,paola cifuentes,5,2
565,alejandro perez,9,1
566,laura moreno,14,3
567,julian rodriguez,14,6
568,jesus dominguez,0,9
569,carolina garcia,11,10
570,patricia dominguez,15,10
571,veronica garcia,5,7
572,alejandro lopez,4,7
573,jose sanchez,6,1
574,hernan munioz,13,1
575,benjamin alvarez,25,8
576,maria rios,16,5
577,alejandro castanio,18,10
578,maria moreno,7,6
579,camilo espania,6,7
580,jose cruz,16,2
581,alvaro perez,21,3
582,jesus moreno,0,2
583,patricia lopez,17,12
584,angela gutierrez,13,10
585,jose munioz,14,11
586,angela gonzalez,18,12
587,raul rodriguez,4,10
588,jose rodriguez,2,12
589,diego munoz,0,4
590,daniela vargas,24,1
591,julian penia,16,12
592,daniela martinez,3,9
593,daniela munoz,0,7
594,sofia vargas,0,2
595,camilo fernandez,15,10
596,mauricio ninez,20,10
597,ricardo espania,0,12
598,alvaro castano,8,2
599,carolina espania,11,5
600,julian munioz,5,10
601,sofia lopez,4,11
602,maria cruz,20,8
603,patricia moreno,5,12
604,daniela castanio,24,11
605,hernan munoz,25,11
606,andres munoz,4,10
607,julian niniez,1,10
608,hernan perez,1,11
609,ricardo ospina,25,7
610,camilo alvarez,17,7
611,andres ospina,16,8
612,carolina lopez,6,2
613,carolina ospina,10,3
614,raul toro,17,3
615,alejandro toro,17,2
616,andres castanio,7,8
617,felipe toro,25,5
618,laura fernandez,12,1
619,laura rios,2,8
620,hernan sanchez,0,6
621,claudia garcia,24,2
622,julian vargas,11,7
623,sofia rios,10,4
624,alejandro gutierrez,25,3
625,andres alvarez,4,10
626,patricia ospina,20,5
627,claudia moreno,22,6
628,maria perez,1,4
629,hernan moreno,8,1
630,jesus cruz,14,1
631,felipe gonzalez,21,7
632,camilo lopez,12,1
633,hernan cruz,10,10
634,diego fernandez,11,1
635,claudia munoz,25,10
636,diego garcia,0,5
637,raul ninez,1,10
638,jose gonzalez,22,4
639,angela munioz,0,11
640,patricia espania,6,10
641,sebastian lopez,2,6
642,claudia rios,3,1
643,julian lopez,6,8
644,patricia alvarez,21,2
645,natalia ospina,11,5
646,andres moreno,11,11
647,jose vargas,1,11
648,mauricio ramirez,8,11
649,natalia rios,23,5
650,claudia herrera,15,3
651,laura garcia,0,7
652,sofia perez,25,11
653,julian ninez,0,10
654,camilo cifuentes,18,9
655,monica rios,4,2
656,felipe espania,9,11
657,daniela munioz,0,10
658,alejandro fernandez,4,11
659,mauricio rodriguez,12,1
660,diego cardenas,0,10
661,monica espana,21,7
662,sofia espania,14,2
663,claudia castanio,2,12
664,mauricio martinez,20,5
665,daniela gonzalez,16,1
666,paola cruz,0,2
667,laura herrera,8,5
668,hernan toro,6,9
669,claudia dominguez,11,7
670,paola fernandez,0,9
671,felipe cifuentes,25,3
672,carolina penia,20,3
673,andres castano,1,1
674,benjamin ramirez,4,8
675,mauricio herrera,6,3
676,benjamin perez,15,4
677,maria vargas,20,12
678,benjamin cardenas,0,4
679,ricardo sanchez,0,6
680,patricia castanio,11,9
681,daniela ramirez,19,10
682,laura toro,7,4
683,monica moreno,12,6
684,claudia niniez,11,5
685,jesus cardenas,6,2
686,natalia cifuentes,0,2
687,natalia martinez,10,2
688,alvaro sanchez,0,12
689,daniela espana,22,11
690,raul espana,7,12
691,mauricio ospina,21,4
692,sebastian rodriguez,25,6
693,valentina espania,25,8
694,ricardo garcia,5,2
695,laura espania,2,10
696,felipe rios,6,5
697,benjamin toro,11,12
698,mauricio penia,5,4
699,natalia fernandez,6,10
700,benjamin moreno,0,3
701,sofia cardenas,11,9
702,sebastian martinez,21,10
703,felipe penia,11,2
704,hernan castanio,2,6
705,alejandro herrera,14,2
706,camilo vargas,11,3
707,monica castano,3,12
708,daniela espania,0,1
709,veronica herrera,9,2
710,jesus fernandez,5,6
711,carolina toro,11,3
712,felipe castano,0,2
713,laura castano,4,3
714,laura ninez,18,10
715,diego ramirez,14,8
716,sebastian alvarez,3,11
717,patricia rios,9,7
718,veronica perez,20,10
719,diego herrera,2,2
720,raul cruz,25,1
721,patricia penia,21,10
722,julian dominguez,6,3
723,sebastian castanio,25,9
724,laura munoz,17,2
725,camilo castano,13,10
726,carolina castano,4,5
727,julian sanchez,24,4
728,julian cruz,21,8
729,sofia cifuentes,13,1
730,felipe moreno,5,9
731,andres vargas,0,2
732,monica ninez,15,3
733,sofia fernandez,4,3
734,valentina toro,6,1
735,laura penia,0,7
736,felipe alvarez,19,7
737,daniela rodriguez,1,8
738,natalia cardenas,12,9
739,alejandro espana,0,8
740,alvaro rios,2,11
741,monica pena,8,8
742,valentina niniez,22,11
743,paola moreno,18,8
744,laura dominguez,17,10
745,monica gutierrez,9,6
746,sofia gonzalez,8,5
747,sofia garcia,22,12
748,camilo cruz,11,6
749,veronica penia,0,3
750,angela ninez,21,10
751,raul espania,20,12
752,natalia gonzalez,5,4
753,diego cruz,18,2
754,sebastian cardenas,24,2
755,maria gutierrez,15,3
756,andres sanchez,5,2
