id_cliente,nombre,tipo_cliente,edad,genero,ultima_compra,frecuencia,valor_monetario,ticket_promedio,vehiculos_comprados,recency,r_score,f_score,m_score,rfm_score,segmento
76,felipe perez ninez,empresarial,25,F,,5,343749.0,68749.8,5,999.0,5,5,5,15,Campeones
77,maria castanio ninez,potencial,100,M,,1,1000.0,1000.0,1,999.0,5,1,1,7,Prometedores
78,diego lopez garcia,recurrente,48,M,,4,251223.0,62805.75,4,999.0,5,5,5,15,Campeones
79,julian lopez rodriguez,nuevo,30,F,,1,17704.0,17704.0,1,999.0,5,1,1,7,Prometedores
80,benjamin ninez sanchez,vip,20,M,,4,152797.0,50932.333333333336,4,999.0,5,5,4,14,Campeones
81,sebastian perez gonzalez,recurrente,64,M,,2,89159.0,89159.0,2,999.0,5,2,2,9,Prometedores
82,sebastian fernandez fernandez,nuevo,26,F,,4,376860.0,94215.0,4,999.0,5,5,5,15,Campeones
83,laura martinez gutierrez,recurrente,61,M,2021-12-26,5,413193.0,82638.6,5,1536.0,1,5,5,11,Leales
84,natalia pena lopez,recurrente,67,M,,2,187158.0,93579.0,2,999.0,5,2,4,11,Leales
85,veronica cardenas ospina,empresarial,68,F,,1,59722.0,59722.0,1,999.0,5,1,2,8,Prometedores
86,raul cardenas moreno,empresarial,75,M,2020-02-27,2,30898.0,15449.0,2,2204.0,1,2,2,5,Potenciales
87,mauricio penia martinez,empresarial,44,M,,1,126588.0,126588.0,1,999.0,5,1,3,9,Prometedores
88,claudia gonzalez herrera,empresarial,31,M,2021-06-01,4,290996.0,72749.0,4,1744.0,1,5,5,11,Leales
89,maria martinez ospina,recurrente,61,F,,2,2000.0,1000.0,2,999.0,5,2,1,8,Prometedores
91,maria cifuentes espania,nuevo,54,M,2023-07-20,4,377019.0,94254.75,4,965.0,5,5,5,15,Campeones
92,jesus martinez moreno,vip,70,F,2021-01-01,2,144372.0,72186.0,2,1895.0,1,2,3,6,Potenciales
93,paola espania sanchez,recurrente,30,M,,1,36650.0,36650.0,1,999.0,5,1,2,8,Prometedores
94,benjamin cruz vargas,potencial,38,F,,1,64788.0,64788.0,1,999.0,5,1,2,8,Prometedores
95,jose ospina fernandez,recurrente,24,M,,1,1000.0,1000.0,1,999.0,5,1,1,7,Prometedores
96,diego fernandez castanio,nuevo,34,M,,3,133657.0,44552.333333333336,3,999.0,5,4,3,12,Leales
97,ricardo herrera ospina,potencial,20,F,,2,196113.0,98056.5,2,999.0,5,2,4,11,Leales
98,natalia cardenas sanchez,vip,73,M,,3,213232.0,71077.33333333333,3,999.0,5,4,4,13,Campeones
99,benjamin herrera ospina,potencial,78,M,2023-02-20,2,93951.0,46975.5,2,1115.0,1,2,3,6,Potenciales
100,patricia cifuentes ninez,vip,67,F,2020-02-27,2,119827.0,59913.5,2,2204.0,1,2,3,6,Potenciales
101,patricia espania penia,vip,57,F,,5,222314.0,44462.8,5,999.0,5,5,5,15,Campeones
102,valentina munoz gutierrez,vip,22,M,2021-03-13,1,59611.0,59611.0,1,1824.0,1,1,2,4,Potenciales
103,natalia lopez cardenas,potencial,79,M,,3,171272.0,57090.666666666664,3,999.0,5,4,4,13,Campeones
104,valentina penia pena,empresarial,35,F,,6,217932.0,36322.0,6,999.0,5,5,4,14,Campeones
105,mauricio lopez ninez,empresarial,32,F,,1,1000.0,1000.0,1,999.0,5,1,1,7,Prometedores
106,laura ospina fernandez,empresarial,58,F,2020-05-07,2,37727.0,18863.5,2,2134.0,1,2,2,5,Potenciales
107,valentina munoz lopez,potencial,19,M,,2,142134.0,71067.0,2,999.0,5,2,3,10,Leales
108,monica cifuentes alvarez,recurrente,53,F,,3,3000.0,1000.0,3,999.0,5,4,1,10,Leales
109,benjamin ramirez ospina,recurrente,29,F,2020-06-16,5,474066.0,94813.2,5,2094.0,1,5,5,11,Leales
110,andres dominguez herrera,nuevo,79,F,,0,0.0,,0,999.0,5,1,1,7,Prometedores
111,patricia martinez cardenas,potencial,32,M,,2,190097.0,95048.5,2,999.0,5,2,4,11,Leales
112,alejandro espania cardenas,potencial,27,M,,1,23293.0,23293.0,1,999.0,5,1,1,7,Prometedores
113,monica ospina penia,recurrente,66,F,,3,108681.0,36227.0,3,999.0,5,4,3,12,Leales
114,ricardo gutierrez munioz,empresarial,33,F,,0,0.0,,0,999.0,5,1,1,7,Prometedores
115,daniela ramirez vargas,potencial,61,F,,3,164811.0,54937.0,3,999.0,5,4,4,13,Campeones
116,ricardo garcia cifuentes,vip,53,F,,3,76965.0,25655.0,3,999.0,5,4,2,11,Leales
117,laura martinez cifuentes,vip,34,M,,1,119971.0,119971.0,1,999.0,5,1,3,9,Prometedores
118,daniela martinez garcia,nuevo,67,F,2022-01-09,1,81246.0,81246.0,1,1522.0,1,1,2,4,Potenciales
119,paola lopez sanchez,potencial,64,F,,2,170761.0,85380.5,2,999.0,5,2,4,11,Leales
120,valentina ramirez perez,nuevo,29,F,2020-08-20,6,412185.0,68697.5,6,2029.0,1,5,5,11,Leales
121,patricia garcia herrera,vip,33,M,,1,58734.0,58734.0,1,999.0,5,1,2,8,Prometedores
122,patricia cifuentes martinez,empresarial,18,F,,3,252457.0,84152.33333333333,3,999.0,5,4,5,14,Campeones
123,alvaro martinez gonzalez,vip,61,F,,2,138402.0,69201.0,2,999.0,5,2,3,10,Leales
124,andres gonzalez ospina,potencial,30,F,,1,1000.0,1000.0,1,999.0,5,1,1,7,Prometedores
125,jose lopez herrera,nuevo,61,F,,2,144797.0,72398.5,2,999.0,5,2,3,10,Leales
126,andres toro dominguez,potencial,41,M,,4,223676.0,55919.0,4,999.0,5,5,5,15,Campeones
128,diego cardenas castanio,nuevo,30,F,,4,243207.0,60801.75,4,999.0,5,5,5,15,Campeones
129,julian cifuentes cruz,vip,33,F,,1,106407.0,106407.0,1,999.0,5,1,3,9,Prometedores
130,jesus martinez toro,vip,60,F,,1,87706.0,87706.0,1,999.0,5,1,2,8,Prometedores
131,jose moreno ospina,vip,77,M,,1,61035.0,61035.0,1,999.0,5,1,2,8,Prometedores
132,claudia perez garcia,empresarial,60,M,,3,157540.0,52513.333333333336,3,999.0,5,4,4,13,Campeones
133,julian sanchez garcia,recurrente,51,F,,2,173032.0,86516.0,2,999.0,5,2,4,11,Leales
134,veronica castanio martinez,vip,70,M,,1,82117.0,82117.0,1,999.0,5,1,2,8,Prometedores
135,maria rios ramirez,potencial,79,M,,4,94107.0,23526.75,4,999.0,5,5,3,13,Campeones
136,felipe cardenas toro,recurrente,30,M,2023-12-30,1,1000.0,1000.0,1,802.0,5,1,1,7,Prometedores
137,laura perez alvarez,recurrente,74,F,,0,0.0,,0,999.0,5,1,1,7,Prometedores
138,alvaro cardenas rios,empresarial,80,M,,1,1000.0,1000.0,1,999.0,5,1,1,7,Prometedores
139,raul alvarez perez,vip,76,F,2024-04-25,3,351360.0,117120.0,3,685.0,5,4,5,14,Campeones
140,maria garcia munoz,recurrente,29,F,,1,1000.0,1000.0,1,999.0,5,1,1,7,Prometedores
141,alvaro fernandez dominguez,potencial,66,M,,2,210771.0,105385.5,2,999.0,5,2,4,11,Leales
142,ricardo cardenas ninez,empresarial,50,M,2021-10-15,2,235330.0,117665.0,2,1608.0,1,2,5,8,Prometedores
143,raul garcia pena,potencial,71,M,,3,238040.0,79346.66666666667,3,999.0,5,4,5,14,Campeones
144,carolina ospina martinez,potencial,68,F,2024-03-01,4,329457.0,82364.25,4,740.0,5,5,5,15,Campeones
145,andres garcia rios,empresarial,30,M,,2,183489.0,91744.5,2,999.0,5,2,4,11,Leales
146,diego vargas alvarez,vip,46,F,2022-11-26,2,138836.0,69418.0,2,1201.0,1,2,3,6,Potenciales
147,monica herrera sanchez,nuevo,18,M,2021-07-01,4,207150.0,51787.5,4,1714.0,1,5,4,10,Leales
148,natalia castanio cruz,vip,54,M,2024-04-27,3,29730.0,9910.0,3,683.0,5,4,1,10,Leales
149,mauricio lopez perez,potencial,42,F,,1,1000.0,1000.0,1,999.0,5,1,1,7,Prometedores
150,sebastian toro cardenas,recurrente,56,F,2020-11-04,2,145771.0,72885.5,2,1953.0,1,2,3,6,Potenciales
151,monica munoz cardenas,nuevo,68,F,2020-11-18,2,109050.0,54525.0,2,1939.0,1,2,3,6,Potenciales
152,maria toro cruz,vip,73,F,,2,213522.0,106761.0,2,999.0,5,2,4,11,Leales
153,hernan herrera rodriguez,empresarial,61,F,,2,188912.0,94456.0,2,999.0,5,2,4,11,Leales
154,felipe toro cifuentes,nuevo,62,M,,2,89849.0,44924.5,2,999.0,5,2,2,9,Prometedores
155,valentina castanio garcia,empresarial,34,M,,3,226188.0,75396.0,3,999.0,5,4,5,14,Campeones
156,hernan lopez dominguez,nuevo,30,M,,3,262241.0,87413.66666666667,3,999.0,5,4,5,14,Campeones
157,paola perez cifuentes,nuevo,66,M,2024-12-09,4,156416.0,52138.666666666664,4,457.0,5,5,4,14,Campeones
158,patricia cifuentes perez,vip,49,M,,2,158607.0,79303.5,2,999.0,5,2,4,11,Leales
160,carolina cruz ospina,potencial,69,M,,2,2000.0,1000.0,2,999.0,5,2,1,8,Prometedores
161,monica cardenas alvarez,vip,47,F,2020-03-11,4,226190.0,56547.5,4,2191.0,1,5,5,11,Leales
162,benjamin espana martinez,empresarial,24,M,,4,331093.0,82773.25,4,999.0,5,5,5,15,Campeones
163,diego munoz lopez,empresarial,49,M,,1,1000.0,1000.0,1,999.0,4,1,1,6,Potenciales
164,daniela herrera cruz,potencial,44,F,,2,127250.0,63625.0,2,999.0,4,2,3,9,Prometedores
165,sebastian alvarez cifuentes,nuevo,29,F,2020-09-25,1,133636.0,133636.0,1,1993.0,1,1,3,5,Potenciales
166,natalia herrera rodriguez,vip,41,F,2021-01-18,2,174317.0,87158.5,2,1878.0,1,2,4,7,Prometedores
167,benjamin moreno gutierrez,nuevo,30,M,2021-05-10,3,123862.0,41287.333333333336,3,1766.0,1,4,3,8,Prometedores
168,diego vargas herrera,nuevo,30,M,2020-01-29,3,176212.0,58737.333333333336,3,2233.0,1,4,4,9,Prometedores
169,jesus castano gutierrez,recurrente,45,M,2021-02-12,3,201046.0,67015.33333333333,3,1853.0,1,4,4,9,Prometedores
170,diego munoz dominguez,potencial,35,F,,2,243802.0,121901.0,2,999.0,4,2,5,11,Leales
171,alejandro rodriguez cardenas,vip,75,F,,0,0.0,,0,999.0,4,1,1,6,Potenciales
172,hernan herrera vargas,recurrente,75,M,,1,120309.0,120309.0,1,999.0,4,1,3,8,Prometedores
173,felipe vargas cardenas,recurrente,43,M,2022-03-14,1,91945.0,91945.0,1,1458.0,1,1,2,4,Potenciales
174,paola ospina cruz,nuevo,79,M,,2,166226.0,83113.0,2,999.0,4,2,4,10,Leales
175,angela herrera niniez,nuevo,77,M,,1,84957.0,84957.0,1,999.0,4,1,2,7,Prometedores
176,julian pena fernandez,potencial,62,F,,1,32376.0,32376.0,1,999.0,4,1,2,7,Prometedores
177,claudia munoz dominguez,vip,54,F,,2,199576.0,99788.0,2,999.0,4,2,4,10,Leales
179,jose cardenas fernandez,recurrente,57,M,2023-01-12,2,156957.0,78478.5,2,1154.0,1,2,4,7,Prometedores
180,angela alvarez espania,vip,68,F,,4,367887.0,91971.75,4,999.0,4,5,5,14,Campeones
181,claudia penia rodriguez,empresarial,22,F,,1,53258.0,53258.0,1,999.0,4,1,2,7,Prometedores
182,hernan cifuentes ospina,vip,78,M,2024-03-11,1,1000.0,1000.0,1,730.0,5,1,1,7,Prometedores
183,carolina perez herrera,recurrente,29,M,,2,120835.0,60417.5,2,999.0,4,2,3,9,Prometedores
184,monica ninez garcia,potencial,30,M,,4,220304.0,73434.66666666667,4,999.0,4,5,4,13,Campeones
185,hernan munoz lopez,potencial,71,M,2021-08-10,3,240542.0,80180.66666666667,3,1674.0,1,4,5,10,Leales
186,veronica lopez gonzalez,recurrente,30,F,,4,215666.0,53916.5,4,999.0,4,5,4,13,Campeones
187,sebastian niniez rios,recurrente,29,M,,5,250779.0,50155.8,5,999.0,4,5,5,14,Campeones
188,raul rios toro,empresarial,71,F,,2,192054.0,96027.0,2,999.0,4,2,4,10,Leales
189,laura rodriguez garcia,vip,33,F,,1,72287.0,72287.0,1,999.0,4,1,2,7,Prometedores
190,veronica ramirez martinez,potencial,60,F,,3,217244.0,72414.66666666667,3,999.0,4,4,4,12,Leales
191,daniela ospina rios,vip,71,F,,0,0.0,,0,999.0,4,1,1,6,Potenciales
192,benjamin alvarez ospina,vip,69,M,,2,54442.0,27221.0,2,999.0,4,2,2,8,Prometedores
193,benjamin martinez castano,empresarial,26,M,2020-12-03,3,168233.0,56077.666666666664,3,1924.0,1,4,4,9,Prometedores
194,sebastian ramirez sanchez,nuevo,46,F,,3,96931.0,32310.333333333332,3,999.0,4,4,3,11,Leales
197,paola alvarez herrera,potencial,36,F,2020-10-11,4,205019.0,51254.75,4,1977.0,1,5,4,10,Leales
198,sofia munoz pena,nuevo,74,F,2022-12-20,2,177264.0,88632.0,2,1177.0,1,2,4,7,Prometedores
199,patricia toro perez,empresarial,80,M,2022-01-13,2,208856.0,104428.0,2,1518.0,1,2,4,7,Prometedores
200,alvaro vargas ramirez,nuevo,28,M,,4,306018.0,76504.5,4,999.0,4,5,5,14,Campeones
201,jesus espana munoz,empresarial,25,M,,1,1000.0,1000.0,1,999.0,4,1,1,6,Potenciales
202,daniela cruz cruz,empresarial,55,F,,4,132541.0,33135.25,4,999.0,4,5,3,12,Leales
203,monica gutierrez moreno,recurrente,30,F,,2,231057.0,115528.5,2,999.0,4,2,5,11,Leales
204,patricia penia ospina,vip,61,M,,2,221159.0,110579.5,2,999.0,4,2,5,11,Leales
205,jesus moreno ramirez,potencial,60,M,,5,311304.0,103768.0,5,999.0,4,5,5,14,Campeones
206,angela moreno cifuentes,vip,39,M,,5,141684.0,28336.8,5,999.0,4,5,3,12,Leales
207,andres fernandez ospina,nuevo,57,M,,3,363954.0,121318.0,3,999.0,4,4,5,13,Campeones
208,raul herrera penia,vip,46,M,,2,86580.0,43290.0,2,999.0,4,2,2,8,Prometedores
209,monica alvarez gonzalez,recurrente,33,M,,1,148070.0,148070.0,1,999.0,4,1,3,8,Prometedores
210,patricia herrera penia,empresarial,74,F,,2,36205.0,18102.5,2,999.0,4,2,2,8,Prometedores
211,diego herrera cruz,empresarial,100,F,,2,77615.0,38807.5,2,999.0,4,2,2,8,Prometedores
213,laura fernandez sanchez,vip,30,F,,3,45114.0,15038.0,3,999.0,4,4,2,10,Leales
214,benjamin ospina moreno,vip,70,M,,2,201524.0,100762.0,2,999.0,4,2,4,10,Leales
215,maria ramirez fernandez,potencial,76,M,,4,374775.0,93693.75,4,999.0,4,5,5,14,Campeones
216,raul ramirez herrera,vip,35,F,,2,110098.0,55049.0,2,999.0,4,2,3,9,Prometedores
217,monica ramirez lopez,nuevo,30,F,2020-10-16,5,366657.0,73331.4,5,1972.0,1,5,5,11,Leales
218,paola espana cifuentes,nuevo,47,F,2022-09-03,4,244678.0,61169.5,4,1285.0,1,5,5,11,Leales
219,mauricio ramirez gonzalez,empresarial,30,M,,1,58281.0,58281.0,1,999.0,4,1,2,7,Prometedores
220,sofia munioz herrera,vip,50,M,,3,265614.0,88538.0,3,999.0,4,4,5,13,Campeones
221,ricardo herrera espania,potencial,71,F,,1,50672.0,50672.0,1,999.0,4,1,2,7,Prometedores
222,raul fernandez ramirez,recurrente,79,M,2024-01-13,4,25113.0,6278.25,4,788.0,5,5,1,11,Leales
223,patricia niniez garcia,potencial,34,M,,4,171305.0,42826.25,4,999.0,4,5,4,13,Campeones
224,andres espania cifuentes,vip,30,F,2020-11-10,1,132046.0,132046.0,1,1947.0,1,1,3,5,Potenciales
225,patricia fernandez dominguez,potencial,65,F,,0,0.0,,0,999.0,4,1,1,6,Potenciales
226,benjamin perez cifuentes,recurrente,54,F,,3,209514.0,69838.0,3,999.0,4,4,4,12,Leales
227,benjamin lopez herrera,potencial,32,M,,2,63181.0,31590.5,2,999.0,4,2,2,8,Prometedores
228,hernan ospina espana,vip,32,M,2020-02-17,3,235541.0,78513.66666666667,3,2214.0,1,4,5,10,Leales
229,alejandro cardenas alvarez,potencial,18,M,,1,42430.0,42430.0,1,999.0,4,1,2,7,Prometedores
230,raul vargas perez,recurrente,46,M,2021-09-05,3,183558.0,61186.0,3,1648.0,1,4,4,9,Prometedores
231,laura sanchez cardenas,potencial,26,F,,1,66127.0,66127.0,1,999.0,4,1,2,7,Prometedores
232,daniela dominguez herrera,vip,22,F,,3,211256.0,70418.66666666667,3,999.0,4,4,4,12,Leales
233,alvaro espania sanchez,nuevo,75,M,,1,80327.0,80327.0,1,999.0,4,1,2,7,Prometedores
234,sofia vargas moreno,potencial,79,M,,3,162525.0,54175.0,3,999.0,4,4,4,12,Leales
235,valentina espania dominguez,nuevo,42,F,,0,0.0,,0,999.0,4,1,1,6,Potenciales
236,natalia cifuentes garcia,recurrente,70,M,2020-11-15,2,28420.0,14210.0,2,1942.0,1,2,1,4,Potenciales
237,hernan herrera garcia,recurrente,59,M,2021-08-06,4,270736.0,135368.0,4,1678.0,1,5,5,11,Leales
238,camilo vargas castanio,potencial,28,M,,0,0.0,,0,999.0,4,1,1,6,Potenciales
239,claudia gonzalez vargas,potencial,47,F,,1,25611.0,25611.0,1,999.0,4,1,1,6,Potenciales
240,maria rodriguez gonzalez,recurrente,50,M,,2,81218.0,40609.0,2,999.0,4,2,2,8,Prometedores
241,carolina cruz martinez,recurrente,66,F,,3,270936.0,90312.0,3,999.0,4,4,5,13,Campeones
242,maria lopez munioz,recurrente,29,F,,5,143774.0,28754.8,5,999.0,4,5,3,12,Leales
243,natalia lopez castanio,potencial,35,M,,0,0.0,,0,999.0,4,1,1,6,Potenciales
244,natalia ospina martinez,recurrente,25,F,,2,2000.0,1000.0,2,999.0,4,2,1,7,Prometedores
245,hernan toro gutierrez,recurrente,23,M,2022-12-30,2,111460.0,55730.0,2,1167.0,1,2,3,6,Potenciales
246,angela rios alvarez,empresarial,57,M,,0,0.0,,0,999.0,4,1,1,6,Potenciales
247,sofia rodriguez rios,recurrente,53,M,,3,167065.0,55688.333333333336,3,999.0,4,4,4,12,Leales
248,benjamin toro castanio,empresarial,26,F,,0,0.0,,0,999.0,4,1,1,6,Potenciales
249,julian gonzalez garcia,potencial,38,F,2021-06-06,3,81588.0,27196.0,3,1739.0,1,4,2,7,Prometedores
250,camilo dominguez toro,empresarial,58,F,,6,287020.0,47836.666666666664,6,999.0,4,5,5,14,Campeones
251,valentina pena gonzalez,nuevo,30,F,2024-03-11,3,106862.0,35620.666666666664,3,730.0,5,4,3,12,Leales
252,veronica lopez niniez,nuevo,61,M,,1,1000.0,1000.0,1,999.0,4,1,1,6,Potenciales
253,claudia vargas moreno,vip,54,F,2024-11-07,3,179687.0,59895.666666666664,3,489.0,5,4,4,13,Campeones
254,claudia castanio gutierrez,nuevo,76,M,2022-09-07,2,224337.0,112168.5,2,1281.0,1,2,5,8,Prometedores
255,alvaro castanio alvarez,nuevo,23,F,,1,142771.0,142771.0,1,999.0,4,1,3,8,Prometedores
256,ricardo gonzalez dominguez,nuevo,29,M,,1,101924.0,101924.0,1,999.0,4,1,3,8,Prometedores
257,andres rodriguez fernandez,nuevo,50,M,2024-01-20,2,78813.0,39406.5,2,781.0,5,3,2,10,Leales
258,julian sanchez moreno,nuevo,30,F,,1,101325.0,101325.0,1,999.0,4,1,3,8,Prometedores
259,claudia garcia munioz,vip,23,M,,2,83840.0,41920.0,2,999.0,4,3,2,9,Prometedores
260,mauricio castanio gutierrez,vip,64,F,,1,86484.0,86484.0,1,999.0,4,1,2,7,Prometedores
